manager,etf_name,short_code,fund_code,detail_url,source,asset_class,style,theme,category_tags,aum_okr,aum_unit,asof_date,holdings_source,holding_count,fetched_at_utc,run_date_kst
삼성,KoAct 바이오헬스케어액티브,462900,KR7462900002,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,4475.46702498,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
타임폴리오,TIME K바이오액티브,463050,KR7463050005,https://timeetf.co.kr/m11_view.php?idx=13,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,2763.02953191,억원,2026-06-10,TIME,37,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
미래에셋,TIGER 기술이전바이오액티브,0168K0,KR70168K0003,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,1399.78259059,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
KB운용,RISE 바이오TOP10액티브,0000Z0,KR70000Z0006,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,775.63901242,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,125.94559541,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
DB자산운용,마이티 바이오시밀러&CDMO액티브,0001P0,KR70001P0005,,FunETF,금리형,액티브,바이오,금리형 | 액티브 | 바이오,110.47750799,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
현대자산운용,UNICORN K바이오액티브,0184V0,KR70184V0007,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,78.50941629,억원,2026-06-10,FunETF,3,2026-06-09T23:10:12.811158+00:00,2026-06-10T08:10:12.811897+09:00
