manager,etf_name,short_code,fund_code,detail_url,source,asset_class,style,theme,category_tags,aum_okr,aum_unit,asof_date,holdings_source,holding_count,fetched_at_utc,error,run_date_kst
미래에셋,TIGER 단기채권액티브,272580,K55301BR4790,https://www.funetf.co.kr/product/etf/view/KR7272580002,FunETF,채권,액티브,채권,채권 | 액티브,6739.53319296,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME Korea플러스배당액티브,441800,K553J1DW4846,https://timeetf.co.kr/m11_view.php?idx=12,FunETF,주식,액티브,배당,주식 | 액티브 | 배당 | 국내,6461.23746302,억원,2026-04-01,TIME,34,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 우량회사채액티브,438330,K55301DW0609,https://www.funetf.co.kr/product/etf/view/KR7438330003,FunETF,채권,액티브,채권,채권 | 액티브,6115.14880926,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 국고채10년액티브,471230,K55105E67924,https://www.funetf.co.kr/product/etf/view/KR7471230003,FunETF,채권,액티브,채권,채권 | 액티브,6008.86104787,억원,2026-04-01,FunETF,3,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=471230,2026-04-01T09:06:53.313085+09:00
삼성,KoAct 바이오헬스케어액티브,462900,K553N9E27494,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오 | 바이오헬스,5548.81889501,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 26-12 회사채(AA-이상)액티브,473290,K55105E71496,https://www.samsungfund.com/etf/product/view.do?id=2ETFL8,FunETF,채권,액티브,채권,채권 | 액티브 | AA+미만,5134.76408662,억원,2026-03-31,KODEX,56,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME 코스닥액티브,0162Y0,K553J1ET1739,https://timeetf.co.kr/m11_view.php?idx=24,FunETF,주식,액티브,기타,주식 | 액티브,4874.63658172,억원,2026-04-01,TIME,71,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX TDF2050액티브,434060,K55105DT5379,https://www.funetf.co.kr/product/etf/view/KR7434060000,FunETF,채권,액티브,기타,채권 | 액티브,4854.60339622,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=434060,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 27-04회사채(A+이상)액티브,480260,K55301E99955,https://www.funetf.co.kr/product/etf/view/KR7480260009,FunETF,채권,액티브,채권,채권 | 액티브 | AA+미만,4604.48468027,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER CD금리플러스액티브(합성),499660,K55301EF8008,https://www.funetf.co.kr/product/etf/view/KR7499660009,FunETF,금리형,액티브,금리형,금리형 | 액티브 | 단기금리형(파킹형),4442.97072119,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 27-12 회사채(AA-이상)액티브,0007F0,K55105EG9086,https://www.samsungfund.com/etf/product/view.do?id=2ETFP7,FunETF,채권,액티브,채권,채권 | 액티브 | AA+미만,4040.90301395,억원,2026-03-31,KODEX,55,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME K바이오액티브,463050,K553J1E46927,https://timeetf.co.kr/m11_view.php?idx=13,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오 | 바이오헬스,4006.7581442,억원,2026-04-01,TIME,41,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
