manager,etf_name,short_code,fund_code,holding_name,current_weight_pct,previous_weight_pct,weight_diff_pct,change_state,asof_date,source
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,에이비엘바이오,12.787871207927,12.787871207927,0.0,유지,2026-05-24,FunETF
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,리가켐바이오,8.437266850906,8.437266850906,0.0,유지,2026-05-24,FunETF
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,한올바이오파마,5.735155502974,5.735155502974,0.0,유지,2026-05-24,FunETF
타임폴리오,TIME K바이오액티브,463050,KR7463050005,셀트리온,14.81,14.81,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,알테오젠,10.05,10.05,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,삼성바이오로직스,7.25,7.25,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,올릭스,6.61,6.61,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,한미약품,5.67,5.67,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,리가켐바이오,5.46,5.46,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에스티팜,4.12,4.12,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에이비엘바이오,3.57,3.57,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에이프릴바이오,3.2,3.2,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,알지노믹스,2.55,2.55,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,삼성에피스홀딩스,2.52,2.52,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,셀트리온제약,2.52,2.52,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,HLB,2.42,2.42,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,지투지바이오,2.22,2.22,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,현금,1.97,1.97,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,펩트론,1.86,1.86,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,씨어스,1.79,1.79,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,리브스메드,1.77,1.77,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,인벤티지랩,1.73,1.73,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,오름테라퓨틱,1.7,1.7,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,휴젤,1.68,1.68,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,보로노이,1.66,1.66,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,오스코텍,1.53,1.53,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,파마리서치,1.15,1.15,0.0,유지,2026-05-22,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,케어젠,1.11,1.11,0.0,유지,2026-05-22,TIME
