manager,etf_name,short_code,fund_code,holding_name,current_weight_pct,previous_weight_pct,weight_diff_pct,change_state,asof_date,source
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,에이비엘바이오,11.958936188377,12.339451333886,-0.38051514550899945,감소,2026-06-08,FunETF
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,리가켐바이오,8.477096922127,8.810050044808,-0.3329531226809994,감소,2026-06-08,FunETF
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,한올바이오파마,6.718424256103,6.244916031023,0.4735082250799998,증가,2026-06-08,FunETF
미래에셋,TIGER 기술이전바이오액티브,0168K0,KR70168K0003,올릭스,13.86811922927,14.545987548673,-0.6778683194030002,감소,2026-06-08,FunETF
미래에셋,TIGER 기술이전바이오액티브,0168K0,KR70168K0003,리가켐바이오,10.570402257525,10.88109220657,-0.3106899490450008,감소,2026-06-08,FunETF
미래에셋,TIGER 기술이전바이오액티브,0168K0,KR70168K0003,에이비엘바이오,6.58844396404,6.733423130576,-0.1449791665360003,감소,2026-06-08,FunETF
타임폴리오,TIME K바이오액티브,463050,KR7463050005,알테오젠,9.93,9.98,-0.05000000000000071,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,셀트리온,9.78,9.71,0.06999999999999851,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,한미약품,8.05,7.72,0.33000000000000096,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,삼성바이오로직스,7.28,7.07,0.20999999999999996,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,올릭스,7.03,7.39,-0.35999999999999943,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,리가켐바이오,5.54,5.72,-0.17999999999999972,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에스티팜,4.06,4.04,0.019999999999999574,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,디앤디파마텍,3.76,3.69,0.06999999999999984,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에이비엘바이오,3.39,3.47,-0.08000000000000007,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에이프릴바이오,3.25,3.41,-0.16000000000000014,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,알지노믹스,2.43,2.45,-0.020000000000000018,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,삼성에피스홀딩스,2.41,2.39,0.020000000000000018,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,셀트리온제약,2.38,2.4,-0.020000000000000018,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,지투지바이오,2.16,2.1,0.06000000000000005,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,유한양행,2.11,2.1,0.009999999999999787,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,HLB,2.06,2.06,0.0,유지,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,인벤티지랩,1.76,1.84,-0.08000000000000007,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,펩트론,1.72,1.75,-0.030000000000000027,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,오름테라퓨틱,1.71,1.68,0.030000000000000027,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,보로노이,1.71,1.76,-0.050000000000000044,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,오스코텍,1.71,1.64,0.07000000000000006,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,휴젤,1.67,1.65,0.020000000000000018,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,씨어스,1.59,1.58,0.010000000000000009,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,한올바이오파마,1.57,1.45,0.1200000000000001,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,리브스메드,1.25,1.3,-0.050000000000000044,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,현금,1.17,1.09,0.07999999999999985,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,파마리서치,1.17,1.17,0.0,유지,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,케어젠,1.08,1.13,-0.04999999999999982,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,일동제약,1.07,1.06,0.010000000000000009,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,네이처셀,0.92,0.91,0.010000000000000009,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,고영,0.83,0.86,-0.030000000000000027,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,에임드바이오,0.73,0.74,-0.010000000000000009,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,앱클론,0.68,0.67,0.010000000000000009,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,메쥬,0.62,0.57,0.050000000000000044,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,HK이노엔,0.57,0.56,0.009999999999999898,증가,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,토모큐브,0.55,0.56,-0.010000000000000009,감소,2026-06-08,TIME
타임폴리오,TIME K바이오액티브,463050,KR7463050005,지아이이노베이션,0.33,0.36,-0.02999999999999997,감소,2026-06-08,TIME
삼성,KoAct 바이오헬스케어액티브,462900,KR7462900002,알테오젠,9.124015537698,9.159686465881,-0.03567092818300033,감소,2026-06-08,FunETF
삼성,KoAct 바이오헬스케어액티브,462900,KR7462900002,올릭스,8.930845051005,9.378286063181,-0.4474410121759984,감소,2026-06-08,FunETF
삼성,KoAct 바이오헬스케어액티브,462900,KR7462900002,셀트리온,8.325889687732,8.259381892737,0.06650779499499926,증가,2026-06-08,FunETF
DB자산운용,마이티 바이오시밀러&CDMO액티브,0001P0,KR70001P0005,셀트리온,12.261406690311,12.185191767131,0.07621492318000023,증가,2026-06-08,FunETF
DB자산운용,마이티 바이오시밀러&CDMO액티브,0001P0,KR70001P0005,에스티팜,12.166504464105,12.134532547185,0.0319719169199999,증가,2026-06-08,FunETF
DB자산운용,마이티 바이오시밀러&CDMO액티브,0001P0,KR70001P0005,삼성바이오로직스,12.105100013652,11.76943272715,0.33566728650199984,증가,2026-06-08,FunETF
KB운용,RISE 바이오TOP10액티브,0000Z0,KR70000Z0006,알테오젠,14.153271262997,14.066242693793,0.0870285692039996,증가,2026-06-08,FunETF
