manager,etf_name,short_code,fund_code,detail_url,source,asset_class,style,theme,category_tags,aum_okr,aum_unit,asof_date,holdings_source,holding_count,fetched_at_utc,run_date_kst
삼성,KoAct 바이오헬스케어액티브,462900,KR7462900002,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,5500.23948436,억원,2026-05-10,FunETF,3,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
타임폴리오,TIME K바이오액티브,463050,KR7463050005,https://timeetf.co.kr/m11_view.php?idx=13,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,3688.29850176,억원,2026-05-08,TIME,38,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
미래에셋,TIGER 기술이전바이오액티브,0168K0,KR70168K0003,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,1561.36619482,억원,2026-05-10,FunETF,3,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
KB운용,RISE 바이오TOP10액티브,0000Z0,KR70000Z0006,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,997.8216496,억원,2026-05-10,FunETF,3,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
NH-Amundi운용,HANARO 바이오코리아액티브,498050,KR7498050004,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,159.36155674,억원,2026-05-10,FunETF,3,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
DB자산운용,마이티 바이오시밀러&CDMO액티브,0001P0,KR70001P0005,,FunETF,금리형,액티브,바이오,금리형 | 액티브 | 바이오,141.84780224,억원,2026-05-10,FunETF,3,2026-05-09T23:58:25.193085+00:00,2026-05-10T08:58:25.193425+09:00
